T(K),Cp_Thiswork
200.0,29.125602943504127
201.0,29.12632851865105
202.0,29.127076588674086
203.0,29.127847687714933
204.0,29.128642341504708
205.0,29.129461067204183
206.0,29.130304400789345
207.0,29.13117284149063
208.0,29.13206692739409
209.0,29.132987159418096
210.0,29.133934049230206
211.0,29.134908118835863
212.0,29.135909852597017
213.0,29.13693976518894
214.0,29.13799835361802
215.0,29.139086103857174
216.0,29.140203504194318
217.0,29.141351044983324
218.0,29.14252919809422
219.0,29.143738437040582
220.0,29.144979229991165
221.0,29.14625204635686
222.0,29.147557329457026
223.0,29.14889554383412
224.0,29.15026712755746
225.0,29.151672519197533
226.0,29.15311214403389
227.0,29.154586441213894
228.0,29.156095815762136
229.0,29.15764068628477
230.0,29.15922145747004
231.0,29.160838526780026
232.0,29.162492277368745
233.0,29.164183098737254
234.0,29.16591136586364
235.0,29.167677438963523
236.0,29.169481677330978
237.0,29.171324439363005
238.0,29.173206061280677
239.0,29.17512687814579
240.0,29.17708722392353
241.0,29.17908740993277
242.0,29.18112773890573
243.0,29.183208526761124
244.0,29.18533005914347
245.0,29.18749262024228
246.0,29.189696478102384
247.0,29.19194190671484
248.0,29.19422916389677
249.0,29.19655849857024
250.0,29.198930143120176
251.0,29.2013443360468
252.0,29.203801291634335
253.0,29.206301222660635
254.0,29.20884434062392
255.0,29.21143083242095
256.0,29.214060883522265
257.0,29.216734670260646
258.0,29.219452359820757
259.0,29.22221411023321
260.0,29.225020070372043
261.0,29.22787037174694
262.0,29.2307651612847
263.0,29.233704535594114
264.0,29.236688631792724
265.0,29.239717536328754
266.0,29.24279134309856
267.0,29.245910136924675
268.0,29.24907400225566
269.0,29.252282988575423
270.0,29.255537171077737
271.0,29.25883658103519
272.0,29.262181276073022
273.0,29.265571269402827
274.0,29.269006592149992
275.0,29.27248724859675
276.0,29.27601325252313
277.0,29.279584590668733
278.0,29.28320125968733
279.0,29.286863219499235
280.0,29.290570459209953
281.0,29.294322931158618
282.0,29.298120578997565
283.0,29.301963367229718
284.0,29.305851213161795
285.0,29.309784055259744
286.0,29.31376180409235
287.0,29.317784382214953
288.0,29.32185168410288
289.0,29.325963606381585
290.0,29.330120048341
291.0,29.33432087040684
292.0,29.338565956514216
293.0,29.342855172757595
294.0,29.34718837781753
295.0,29.3515654230511
296.0,29.35598614161946
297.0,29.360450370234467
298.0,29.36495793856065
299.0,29.369508680552123
300.0,29.374102401013303
301.0,29.378738909047833
302.0,29.383418007101753
303.0,29.388139479447297
304.0,29.392903126942002
305.0,29.397708732660618
306.0,29.40255604962174
307.0,29.407444883914057
