FaceID,X,Y,Z,Pressure
6467,0.118165354410807,0.096931999206543,0.11493906656901,4902.496582
6468,0.117832677205404,0.0970979995727539,0.106239067077637,4849.934082
6469,0.118165354410807,0.096931999206543,0.109006401062012,4881.32373
6470,0.117832677205404,0.0970979995727539,0.100272399902344,4801.160156
6471,0.118165354410807,0.096931999206543,0.10307240041097,4830.923828
6472,0.117832677205404,0.0970979995727539,0.094305066426595,4782.290039
6473,0.118165354410807,0.096931999206543,0.0971390660603841,4792.254395
6474,0.117832677205404,0.0970979995727539,0.0883377329508464,4798.347168
6475,0.118165354410807,0.096931999206543,0.0912050654093425,4783.947266
6476,0.117832677205404,0.0970979995727539,0.0823710683186849,4821.031738
6477,0.118165354410807,0.096931999206543,0.0852710673014323,4795.182617
6478,0.117832677205404,0.0970979995727539,0.0764050674438477,4819.914062
6479,0.118165354410807,0.096931999206543,0.0793384017944336,4803.403809
6480,0.117832677205404,0.0970979995727539,0.0704390665690104,4823.594727
6481,0.118165354410807,0.096931999206543,0.0734057337443034,4807.852539
6482,0.117832677205404,0.0970979995727539,0.064471066792806,4834.490723
6483,0.118165354410807,0.096931999206543,0.0674723993937174,4825.203125
6484,0.117832677205404,0.0970979995727539,0.0585037358601888,4835.75
6485,0.118165354410807,0.096931999206543,0.0615377337137858,4875.552734
6486,0.117832677205404,0.0970979995727539,0.0525370674133301,4829.844238
6487,0.118165354410807,0.096931999206543,0.0556037330627441,4912.395996
6488,0.117832677205404,0.0970979995727539,0.0465717353820801,4818.425781
6489,0.118165354410807,0.096931999206543,0.0496710650126139,4860.527832
6490,0.117832677205404,0.0970979995727539,0.0406037381490072,4810.587891
6491,0.118165354410807,0.096931999206543,0.043737735748291,4808.826172
6492,0.117832677205404,0.0970979995727539,0.0346370684305827,4913.607422
6493,0.118165354410807,0.096931999206543,0.0378037350972494,4766.760742
6494,0.117832677205404,0.0970979995727539,0.0286697374979655,5537.695801
6495,0.118165354410807,0.096931999206543,0.0318704007466634,4755.654297
6496,0.117832677205404,0.0970979995727539,0.0227034695943197,6278.151367
6497,0.118165354410807,0.096931999206543,0.0259362678527832,5125.811523
6498,0.117832677205404,0.0970979995727539,0.0167366676330566,9880.400391
6499,0.118165354410807,0.096931999206543,0.0200033353169759,6561.11377
6500,0.118165354410807,0.096931999206543,0.0140693295796712,12035.51367
6501,0.11883203125,0.0966166661580404,0.245475997924805,4925.962402
6502,0.119166030883789,0.0964673334757487,0.243542663574219,4922.996582
6503,0.11883203125,0.0966166661580404,0.237675994873047,4921.455566
6504,0.119166030883789,0.0964673334757487,0.239675994873047,4934.349121
6505,0.11883203125,0.0966166661580404,0.231808659871419,4921.527832
6506,0.119166030883789,0.0964673334757487,0.233841995239258,4923.835938
6507,0.11883203125,0.0966166661580404,0.225941991170247,4923.607422
6508,0.119166030883789,0.0964673334757487,0.228008656819661,4924.908203
6509,0.11883203125,0.0966166661580404,0.220075597127279,4926.999512
6510,0.119166030883789,0.0964673334757487,0.22217546081543,4927.531738
6511,0.11883203125,0.0966166661580404,0.214207728068034,4931.096191
6512,0.119166030883789,0.0964673334757487,0.216341730753581,4931.305176
6513,0.11883203125,0.0966166661580404,0.208341059366862,4935.467773
6514,0.119166030883789,0.0964673334757487,0.210507059733073,4935.834961
6515,0.11883203125,0.0966166661580404,0.202474395751953,4958.49707
6516,0.119166030883789,0.0964673334757487,0.204674392700195,4941.027832
6517,0.11883203125,0.0966166661580404,0.196607732137044,4968.420898
6518,0.119166030883789,0.0964673334757487,0.198840398152669,4947.53418
6519,0.11883203125,0.0966166661580404,0.190741729736328,4975.149414
6520,0.119166030883789,0.0964673334757487,0.193007731119792,4955.986816
6521,0.11883203125,0.0966166661580404,0.184875066121419,4959.778809
6522,0.119166030883789,0.0964673334757487,0.187175064086914,4964.553711
6523,0.11883203125,0.0966166661580404,0.17900840250651,4960.701172
6524,0.119166030883789,0.0964673334757487,0.181341735839844,4966.743164
6525,0.11883203125,0.0966166661580404,0.173141733805339,4954.217285
6526,0.119166030883789,0.0964673334757487,0.175509068806966,4961.493164
6527,0.11883203125,0.0966166661580404,0.16727507019043,4939.331055
6528,0.119166030883789,0.0964673334757487,0.169675069173177,4948.632812
6529,0.11883203125,0.0966166661580404,0.161407068888346,4919.539062
6530,0.119166030883789,0.0964673334757487,0.163841069539388,4929.540039
6531,0.11883203125,0.0966166661580404,0.155539733886719,4906.772461
6532,0.119166030883789,0.0964673334757487,0.158005732218424,4912.498535
6533,0.11883203125,0.0966166661580404,0.149673065185547,4901.435059
6534,0.119166030883789,0.0964673334757487,0.152173065185547,4902.281738
6535,0.11883203125,0.0966166661580404,0.143806401570638,4900.869629
6536,0.119166030883789,0.0964673334757487,0.146339731852214,4898.419434
6537,0.11883203125,0.0966166661580404,0.137939732869466,4903.68457
6538,0.119166030883789,0.0964673334757487,0.140507069905599,4898.213867
6539,0.11883203125,0.0966166661580404,0.132073064168294,4912.984863
6540,0.119166030883789,0.0964673334757487,0.134673065185547,4904.408691
6541,0.11883203125,0.0966166661580404,0.126207069396973,4924.908203
6542,0.119166030883789,0.0964673334757487,0.128840400695801,4922.524414
6543,0.11883203125,0.0966166661580404,0.120339734395345,4925.392578
6544,0.119166030883789,0.0964673334757487,0.123007069905599,4937.362793
6545,0.11883203125,0.0966166661580404,0.114473070780436,4898.926758
6546,0.119166030883789,0.0964673334757487,0.11717307027181,4924.192871
6547,0.11883203125,0.0966166661580404,0.108606402079264,4854.222656
6548,0.119166030883789,0.0964673334757487,0.111340405782064,4885.665039
6549,0.11883203125,0.0966166661580404,0.102739067077637,4819.018066
6550,0.119166030883789,0.0964673334757487,0.105505734761556,4848.648926
6551,0.11883203125,0.0966166661580404,0.0968723983764648,4795.817383
6552,0.119166030883789,0.0964673334757487,0.0996723988850911,4822.955566
6553,0.11883203125,0.0966166661580404,0.0910050659179688,4787.289062
6554,0.119166030883789,0.0964673334757487,0.0938383992513021,4801.889648
6555,0.11883203125,0.0966166661580404,0.0851383997599284,4777.831055
6556,0.119166030883789,0.0964673334757487,0.0880050659179688,4785.561523
6557,0.11883203125,0.0966166661580404,0.0792717361450195,4774.261719
6558,0.119166030883789,0.0964673334757487,0.0821717351277669,4773.45459
6559,0.11883203125,0.0966166661580404,0.0734057337443034,4792.391113
