FaceID,X,Y,Z,Heat Flux
8677,0.144166666666667,0.101047335306803,0.144573064168294,-1882592.98267044
8678,0.143833333333333,0.100780667622884,0.134206400553385,-1831928.3721082
8679,0.144166666666667,0.101047335306803,0.138007064819336,-1878267.60349189
8680,0.143833333333333,0.100780667622884,0.127672398885091,-1822973.65003272
8681,0.144166666666667,0.101047335306803,0.13143906656901,-1868916.27554681
8682,0.143833333333333,0.100780667622884,0.121139066060384,-1811649.15870893
8683,0.144166666666667,0.101047335306803,0.124872398376465,-1855427.97366405
8684,0.143833333333333,0.100780667622884,0.114605733235677,-1800450.92265324
8685,0.144166666666667,0.101047335306803,0.118305066426595,-1762963.33131646
8686,0.143833333333333,0.100780667622884,0.10807240041097,-1794351.97826987
8687,0.144166666666667,0.101047335306803,0.111739067077637,-1754397.55124778
8688,0.143833333333333,0.100780667622884,0.101539733886719,-1799425.95826368
8689,0.144166666666667,0.101047335306803,0.105172401428223,-1744213.13579811
8690,0.143833333333333,0.100780667622884,0.0950057322184245,-1791984.73238162
8691,0.144166666666667,0.101047335306803,0.0986063995361328,-1730744.50003993
8692,0.143833333333333,0.100780667622884,0.0884717330932617,-1784497.14201157
8693,0.144166666666667,0.101047335306803,0.0920383987426758,-1716492.44679591
8694,0.143833333333333,0.100780667622884,0.0819384002685547,-1768401.26741939
8695,0.144166666666667,0.101047335306803,0.0854717330932617,-1707720.23744543
8696,0.143833333333333,0.100780667622884,0.0754050674438477,-1763575.78444817
8697,0.144166666666667,0.101047335306803,0.0789050674438477,-1695984.94868527
8698,0.143833333333333,0.100780667622884,0.0688710683186849,-1757200.89134963
8699,0.144166666666667,0.101047335306803,0.0723377354939779,-1706522.62930114
8700,0.143833333333333,0.100780667622884,0.0623377342224121,-1747414.83186815
8701,0.144166666666667,0.101047335306803,0.0657704010009766,-1741587.27214598
8702,0.143833333333333,0.100780667622884,0.0558044013977051,-1736184.77699339
8703,0.144166666666667,0.101047335306803,0.059203732808431,-1736098.26078661
8704,0.143833333333333,0.100780667622884,0.0492710711161296,-1712071.97060866
8705,0.144166666666667,0.101047335306803,0.0526377347310384,-1707848.68594898
8706,0.143833333333333,0.100780667622884,0.0427370694478353,-1669321.90178861
8707,0.144166666666667,0.101047335306803,0.0460710690816244,-1648826.11438082
8708,0.143833333333333,0.100780667622884,0.0362037391662598,-1581143.77187595
8709,0.144166666666667,0.101047335306803,0.0395044034322103,-1504759.60586648
8710,0.143833333333333,0.100780667622884,0.0296697374979655,-77328.3682316682
8711,0.144166666666667,0.101047335306803,0.0329370714823405,-1098211.54581738
8712,0.144833333333333,0.101598668416341,0.245241999308268,-1777320.03157712
8713,0.144833333333333,0.101598668416341,0.238608657836914,-1777519.7730207
8714,0.145166666666667,0.10188333384196,0.243008661905924,-1757174.55776807
8715,0.144833333333333,0.101598668416341,0.231975326538086,-1777725.68852647
8716,0.145166666666667,0.10188333384196,0.236342656453451,-1757059.43060444
8717,0.144833333333333,0.101598668416341,0.225340794881185,-1778115.92466218
8718,0.145166666666667,0.10188333384196,0.229674662272135,-1756992.78370463
8719,0.144833333333333,0.101598668416341,0.218709060668945,-1778073.1589551
8720,0.145166666666667,0.10188333384196,0.223008260091146,-1757063.11086445
8721,0.144833333333333,0.101598668416341,0.212075729370117,-1777289.19159488
8722,0.145166666666667,0.10188333384196,0.216342397054036,-1818397.28025768
8723,0.144833333333333,0.101598668416341,0.205442398071289,-1775962.21583232
8724,0.145166666666667,0.10188333384196,0.20967573038737,-1817276.68235575
8725,0.144833333333333,0.101598668416341,0.198807729085286,-1774893.24494342
8726,0.145166666666667,0.10188333384196,0.203008397420247,-1816370.27745374
8727,0.144833333333333,0.101598668416341,0.19217372639974,-1775084.32279823
8728,0.145166666666667,0.10188333384196,0.196340393066406,-1816268.32194026
8729,0.144833333333333,0.101598668416341,0.185540395100911,-1776681.15836302
8730,0.145166666666667,0.10188333384196,0.18967372639974,-1816714.07911024
8731,0.144833333333333,0.101598668416341,0.178907730102539,-1778587.43752933
8732,0.145166666666667,0.10188333384196,0.183007731119792,-1817292.29386407
8733,0.144833333333333,0.101598668416341,0.172273732503255,-1780108.16585475
8734,0.145166666666667,0.10188333384196,0.176341730753581,-1817791.191569
8735,0.144833333333333,0.101598668416341,0.165640401204427,-1780886.62599222
8736,0.145166666666667,0.10188333384196,0.169673736572266,-1818193.33781402
8737,0.144833333333333,0.101598668416341,0.159007731119792,-1780834.80074957
8738,0.145166666666667,0.10188333384196,0.163007731119792,-1818481.30037603
8739,0.144833333333333,0.101598668416341,0.152373733520508,-1779582.47355283
8740,0.145166666666667,0.10188333384196,0.156340398152669,-1818127.77515272
8741,0.144833333333333,0.101598668416341,0.145740397135417,-1776659.84797491
8742,0.145166666666667,0.10188333384196,0.149673731486003,-1816901.28021675
8743,0.144833333333333,0.101598668416341,0.139106399536133,-1773627.72322828
8744,0.145166666666667,0.10188333384196,0.14300639851888,-1814315.69583147
8745,0.144833333333333,0.101598668416341,0.132472401936849,-1771961.27637107
8746,0.145166666666667,0.10188333384196,0.136339070638021,-1810775.63338198
8747,0.144833333333333,0.101598668416341,0.125839065551758,-1769087.84672448
8748,0.145166666666667,0.10188333384196,0.129672401428223,-1803969.88250371
8749,0.144833333333333,0.101598668416341,0.11920573425293,-1762963.33131646
8750,0.145166666666667,0.10188333384196,0.123006401062012,-1725516.93694246
8751,0.144833333333333,0.101598668416341,0.112571734110514,-1754397.55124778
8752,0.145166666666667,0.10188333384196,0.116339068094889,-1721823.99163131
8753,0.144833333333333,0.101598668416341,0.105939069112142,-1744213.13579811
8754,0.145166666666667,0.10188333384196,0.109671735127767,-1707525.12954924
8755,0.144833333333333,0.101598668416341,0.0993057327270508,-1730744.50003993
8756,0.145166666666667,0.10188333384196,0.103005734761556,-1687505.91075659
8757,0.144833333333333,0.101598668416341,0.0926717325846354,-1716492.44679591
8758,0.145166666666667,0.10188333384196,0.0963383992513021,-1666317.08571816
8759,0.144833333333333,0.101598668416341,0.0860390650431315,-1707720.23744543
8760,0.145166666666667,0.10188333384196,0.0896723988850911,-1647460.85259658
8761,0.144833333333333,0.101598668416341,0.0794044011433919,-1695984.94868527
8762,0.145166666666667,0.10188333384196,0.0830050659179687,-1655414.31385646
8763,0.144833333333333,0.101598668416341,0.0727710698445638,-1706522.62930114
