Time_s,Altitude_m,Mach,DynamicPressure_Pa,Velocity_ms,AirDensity_kgm3,AirTemperature_K
0,9000,7.99885973046857,1376868.42111535,2430,0.466347752244865,229.65
5.19306456362299e-08,9000,7.99885972894843,1376868.42059202,2429.99999953819,0.466347752244865,229.65
1.0386129127246e-07,9000,7.99885972742829,1376868.42006869,2429.99999907639,0.466347752244865,229.65
1.5579193690869e-07,9000,7.99885972590816,1376868.41954536,2429.99999861458,0.466347752244865,229.65
2.0772258254492e-07,9000,7.99885972438802,1376868.41902203,2429.99999815277,0.466347752244865,229.65
4.67375810726069e-07,9000,7.99885971678734,1376868.41640537,2429.99999584374,0.466347752244865,229.65
7.27029038907219e-07,9000,7.99885970918667,1376868.41378871,2429.9999935347,0.466347752244864,229.65
9.86682267088368e-07,9000.00000000001,7.99885970158599,1376868.41117205,2429.99999122567,0.466347752244864,229.65
1.24633549526952e-06,9000.00000000001,7.99885969398531,1376868.4085554,2429.99998891663,0.466347752244864,229.65
2.54460163617526e-06,9000.00000000005,7.99885965598193,1376868.39547211,2429.99997737146,0.466347752244862,229.65
3.84286777708101e-06,9000.00000000011,7.99885961797855,1376868.38238882,2429.99996582628,0.466347752244858,229.649999999999
5.14113391798676e-06,9000.00000000019,7.99885957997517,1376868.36930553,2429.99995428111,0.466347752244854,229.649999999999
6.43940005889251e-06,9000.00000000029,7.99885954197179,1376868.35622223,2429.99994273593,0.466347752244848,229.649999999998
1.29307307634212e-05,9000.00000000119,7.99885935195496,1376868.29080568,2429.99988501006,0.466347752244798,229.649999999992
1.942206146795e-05,9000.00000000268,7.9988591619382,1376868.22538903,2429.99982728419,0.466347752244714,229.649999999983
2.59133921724787e-05,9000.00000000477,7.9988589719215,1376868.15997229,2429.99976955832,0.466347752244596,229.649999999969
3.24047228770074e-05,9000.00000000746,7.99885878190488,1376868.09455545,2429.99971183245,0.466347752244445,229.649999999951
6.48613763996511e-05,9000.00000002988,7.99885783182287,1376867.76746982,2429.99942320313,0.466347752243186,229.649999999806
9.73180299222948e-05,9000.00000006726,7.99885688174266,1376867.44038178,2429.99913457384,0.466347752241086,229.649999999563
0.000129774683444938,9000.00000011961,7.99885593166425,1376867.11329133,2429.99884594459,0.466347752238146,229.649999999223
0.000162231336967582,9000.00000018692,7.99885498158765,1376866.78619848,2429.99855731536,0.466347752234364,229.649999998785
0.000324514604580801,9000.00000074791,7.99885023123168,1376865.15069815,2429.99711416975,0.46634775220285,229.649999995139
0.000486797872194019,9000.00000168297,7.99884548092079,1376863.5151377,2429.99567102497,0.466347752150323,229.649999989061
0.000649081139807237,9000.0000029921,7.99884073065497,1376861.87951711,2429.99422788102,0.466347752076781,229.649999980551
